Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
9ct-gold-and-diamond-pendant-and-chain-1162,9ct Gold and Diamond Pendant and Chain 1162,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,1,1
solid-9ct-gold-3-1-figaro-chain-1163,Solid 9ct Gold 3-1 Figaro Chain 1163,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,1,1
solid-9ct-gold-fob-chain,Solid 9ct Gold Fob Chain 1164,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,-1,-1
9ct-gold-and-diamond-ring-1043,9ct Gold and Diamond Ring,Title,Default Title,,,,,1043,,AU,Once-Loved Treasures,0,0,0,1,1
9ct-gold-ring-with-sapphire-and-diamond-1044,9ct Gold Ring with Sapphire and Diamond,Title,Default Title,,,,,1044,,AU,Once-Loved Treasures,0,0,0,1,1
1045,9ct Gold Earrings and Pendant 1045,Title,Default Title,,,,,1045,,AU,Once-Loved Treasures,0,0,1,0,1
1046,9ct Gold Synthetic Ruby Enhancer 1046,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,1,1
1047,18ct Gold Ring Diamond Wedder 1047,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,0,0
1048,ON SALE! 9ct Gold Ring two tone wedder Ring 1048,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,0,0
9ct-gold-ring-garnet-and-diamond-1049,9ct Gold Ring Garnet and Diamond,Title,Default Title,,,,,1049,,AU,Once-Loved Treasures,0,0,0,1,1
9ct-gold-ring-created-with-ruby-1050,9ct Gold Ring created with Ruby 1050,Title,Default Title,,,,,1050,,AU,Once-Loved Treasures,0,0,0,1,1
1051,DISCOUTNED! 18ct Gold Wedding Ring 1051,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,0,0
9ct-gold-sapphire-pendant-1052,9ct Gold Sapphire Pendant 1052,Title,Default Title,,,,,1052,,AU,Once-Loved Treasures,0,0,0,1,1
9ct-gold-diamond-hoop-earrings-1053,9ct Gold Diamond Hoop Earrings 1053,Title,Default Title,,,,,1053,,AU,Once-Loved Treasures,0,0,0,-1,-1
9ct-gold-ring-croatian-emblem,ON SALE! 9ct Gold Ring Croatian Emblem,Title,Default Title,,,,,1054,,,Once-Loved Treasures,0,0,0,1,1
1056,ON SALE! 9ct gold Ring with Sapphire and Diamonds,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,1,1
1057,DISCOUNTED! 18ct Gold Diamond Ring. 5 Diamonds 1057,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,1,1
9ct-gold-cz-friendship-ring-1058,9ct Gold CZ Friendship Ring 1058,Title,Default Title,,,,,1058,,AU,Once-Loved Treasures,0,0,0,1,1
1059,9ct Gold Amethyst Ring 1059,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,-1,-1
10ct-gold-diamond-ring-1-00ct-tdw-1060,10ct Gold Diamond ring 1.00ct TDW 1060,Title,Default Title,,,,,1060,,AU,Once-Loved Treasures,0,0,0,1,1
9ct-gold-cubic-zirconia-ring-1061,9ct Gold Cubic Zirconia Ring 1061,Title,Default Title,,,,,1061,,AU,Once-Loved Treasures,0,0,0,1,1
14ct-elegant-gold-diamond-ring-1062,14ct Elegant Gold Diamond Ring,Title,Default Title,,,,,1062,,AU,Once-Loved Treasures,0,0,0,-1,-1
9ct-gold-ring-with-synthetic-ruby-1063,9ct Gold Ring with Synthetic Ruby 1063,Title,Default Title,,,,,1063,,AU,Once-Loved Treasures,0,0,0,1,1
10ct-beautiful-gold-diamond-ring,10ct beautiful Gold Diamond Ring,Title,Default Title,,,,,1064,,AU,Once-Loved Treasures,0,0,0,1,1
9ct-gold-diamond-ring-1065,9ct Gold Diamond Ring 1065,Title,Default Title,,,,,1065,,AU,Once-Loved Treasures,0,0,0,0,0
9ct-gold-cubic-zirconia-ring-1066,9ct Gold Cubic Zirconia Ring 1066,Title,Default Title,,,,,1066,,AU,Once-Loved Treasures,0,0,0,1,1
9ct-gold-sapphire-and-diamond-ring-1067,9ct Gold Sapphire and Diamond Ring 1067,Title,Default Title,,,,,1067,,AU,Once-Loved Treasures,0,0,0,1,1
9ct-gold-emerald-and-diamond-ring-1068,9ct Gold Emerald and Diamond Ring 1068,Title,Default Title,,,,,1068,,AU,Once-Loved Treasures,0,0,0,1,1
1069,ON SALE! 9ct Gold Ring with Byron Emerald and Diamond 1069,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,1,1
9ct-gold-garnet-and-diamond-ring-1070,9ct Gold Garnet and Diamond Ring 1070,Title,Default Title,,,,,1070,,AU,Once-Loved Treasures,0,0,0,1,1
18ct-stunning-gold-diamond-ring,18ct Stunning Gold Diamond Ring,Title,Default Title,,,,,1071,,AU,Once-Loved Treasures,0,0,0,1,1
